V1	V2	V3	V4	V5	V6	V7	V8	V9
chr12	188034	188565	H3K9me3_chr12_broad_rmdup_peak_21	53	.	5.05904	7.98129	5.36938
chr12	235382	236446	H3K9me3_chr12_broad_rmdup_peak_23	52	.	3.71887	7.85215	5.2229
chr12	375097	375207	H3K9me3_chr12_broad_rmdup_peak_50	51	.	3.67301	7.77459	5.14335
chr12	375496	376654	H3K9me3_chr12_broad_rmdup_peak_51	65	.	4.44719	9.33346	6.54165
chr12	472566	472616	H3K9me3_chr12_broad_rmdup_peak_55	55	.	5.69713	8.27423	5.56798
chr12	1549983	1551031	H3K9me3_chr12_broad_rmdup_peak_118	61	.	4.20137	8.86723	6.12904
chr12	1817982	1818205	H3K9me3_chr12_broad_rmdup_peak_136	93	.	7.26027	12.4222	9.31211
chr12	2131607	2131825	H3K9me3_chr12_broad_rmdup_peak_155	66	.	5.04395	9.36495	6.60664
chr12	2135616	2135672	H3K9me3_chr12_broad_rmdup_peak_157	57	.	4.6626	8.48732	5.76216
chr12	2715358	2715406	H3K9me3_chr12_broad_rmdup_peak_181	50	.	4.1011	7.67799	5.04555
chr12	2785087	2785138	H3K9me3_chr12_broad_rmdup_peak_190	51	.	4.81685	7.79296	5.15142
chr12	3228890	3229113	H3K9me3_chr12_broad_rmdup_peak_213	50	.	4.65597	7.55146	5.00324
chr12	3851308	3851882	H3K9me3_chr12_broad_rmdup_peak_257	50	.	4.01743	7.67254	5.07786
chr12	4013022	4013073	H3K9me3_chr12_broad_rmdup_peak_276	81	.	5.99744	11.1278	8.13633
chr12	4342790	4342966	H3K9me3_chr12_broad_rmdup_peak_298	52	.	4.07376	7.92749	5.28801
chr12	4513619	4513680	H3K9me3_chr12_broad_rmdup_peak_311	72	.	4.76192	10.1439	7.25774
chr12	4721874	4721925	H3K9me3_chr12_broad_rmdup_peak_325	69	.	4.60775	9.76402	6.92163
chr12	5119738	5119890	H3K9me3_chr12_broad_rmdup_peak_343	50	.	4.32736	7.63723	5.02455
chr12	5288712	5288764	H3K9me3_chr12_broad_rmdup_peak_359	58	.	5.86182	8.56031	5.81985
chr12	5537613	5537898	H3K9me3_chr12_broad_rmdup_peak_370	54	.	3.85882	8.13256	5.48709
chr12	5823546	5824357	H3K9me3_chr12_broad_rmdup_peak_396	55	.	3.62241	8.17795	5.52632
chr12	5833669	5833717	H3K9me3_chr12_broad_rmdup_peak_399	56	.	5.38248	8.39734	5.67773
chr12	6099797	6100213	H3K9me3_chr12_broad_rmdup_peak_423	58	.	4.55617	8.50343	5.80162
chr12	6475390	6476140	H3K9me3_chr12_broad_rmdup_peak_456	51	.	5.39683	7.78796	5.18229
chr12	6797402	6797464	H3K9me3_chr12_broad_rmdup_peak_477	53	.	3.56743	7.97944	5.336
chr12	7030279	7031224	H3K9me3_chr12_broad_rmdup_peak_484	55	.	4.46253	8.21786	5.55962
chr12	7053740	7053792	H3K9me3_chr12_broad_rmdup_peak_487	50	.	3.97534	7.64195	5.01712
chr12	7171289	7171601	H3K9me3_chr12_broad_rmdup_peak_495	50	.	4.10172	7.67213	5.06367
chr12	7199683	7200369	H3K9me3_chr12_broad_rmdup_peak_500	59	.	5.29475	8.60664	5.93546
chr12	7252850	7253100	H3K9me3_chr12_broad_rmdup_peak_511	50	.	3.61502	7.69523	5.07985
chr12	7283744	7284056	H3K9me3_chr12_broad_rmdup_peak_519	63	.	4.91519	9.10536	6.32743
chr12	7330851	7332237	H3K9me3_chr12_broad_rmdup_peak_526	51	.	3.99813	7.7216	5.11857
chr12	7394270	7394531	H3K9me3_chr12_broad_rmdup_peak_540	54	.	3.88129	8.14356	5.46766
chr12	7509095	7509170	H3K9me3_chr12_broad_rmdup_peak_564	90	.	5.58979	12.1826	9.08799
chr12	7534505	7535150	H3K9me3_chr12_broad_rmdup_peak_573	64	.	4.58041	9.22116	6.43551
chr12	7584096	7584455	H3K9me3_chr12_broad_rmdup_peak_589	57	.	3.8084	8.44132	5.75043
chr12	7590302	7591156	H3K9me3_chr12_broad_rmdup_peak_591	56	.	4.77816	8.30341	5.6371
